date,precipitation,temp_max,temp_min,wind,weather
3/19/2013,0,3.98,0.48,2.8,drizzle
3/20/2013,0,7.33,3.73,2.43,drizzle
3/21/2013,0,9.54,3.73,4.67,sun
3/22/2013,0,4.59,0.28,5.88,sun
3/23/2013,0,3.5,-1.24,4.21,sun
3/24/2013,0,6.85,0.61,2.71,sun
3/25/2013,0,5.97,1.02,2.04,sun
3/26/2013,0,3.95,0.17,2.88,snow
3/27/2013,0,5.07,1.3,2.69,sun
3/28/2013,0,8.7,4.06,4.46,sun
3/29/2013,0,8,3.21,3.67,sun
3/30/2013,0,10.03,6.15,3.46,sun
3/31/2013,0,11.29,4.98,1.08,sun
4/1/2013,0,11.14,4.27,1.3,sun
4/2/2013,0,12.13,6.89,3.42,sun
4/3/2013,0,8.03,2.3,4.42,sun
4/4/2013,0,7.56,1.57,4.21,sun
4/5/2013,0,6.26,0.09,2.77,sun
4/6/2013,0,10.07,5.64,3.66,rain
4/7/2013,0,11.95,6.2,4,sun
4/8/2013,0,13.01,7.93,5.58,sun
4/9/2013,0,21.76,15.01,3.21,sun
4/10/2013,0,25.81,19.1,3.38,sun
4/11/2013,0,27.82,21.26,3.79,sun
4/12/2013,0,27.21,19.96,2.67,sun
4/13/2013,0,17.28,11.63,4,rain
4/14/2013,0,17.17,10.62,3.81,sun
4/15/2013,0,16.04,9.74,2.54,sun
4/16/2013,0,16.26,11.76,2.69,sun
4/17/2013,0,18.22,14.86,2.57,sun
4/18/2013,0,21.07,15.92,2.68,sun
4/19/2013,0,19.96,15.78,2.77,sun
4/20/2013,0,22.97,17.73,5.76,sun
4/21/2013,0,17.77,11.5,5.2,sun
4/22/2013,0,11.06,6.28,4.54,sun
4/23/2013,0,10.45,5.03,3.88,sun
4/24/2013,0.254,12.4,8.49,3.33,sun
4/25/2013,0,17.06,10.2,3.88,sun
4/26/2013,0,17.43,11.87,5.09,sun
4/27/2013,0,15.55,8.84,2.46,sun
4/28/2013,0,17.3,9.76,1.25,sun
4/29/2013,0,17.11,10.02,3.26,sun
4/30/2013,0,14.82,12.41,2.56,drizzle
5/1/2013,0,14.86,12.67,3.98,drizzle
5/2/2013,0,16.41,11.72,3.42,sun
5/3/2013,0,15.44,10.81,2.71,sun
5/4/2013,0,15.91,10.96,2.75,sun
5/5/2013,0,14.94,10.88,3.63,sun
