id,station,gridblock,timestamp,latitude,longitude,polyCoords,timeOfDay,day,temp,windSpeed,windDirection,icon,shortForecast,longForecast
0,LWX,"100,43",2018-03-16:12:00:00,38.28316198,-77.01359076,"[[38.295636623476, -77.025738519244], [38.273622478492, -77.029478332862], [38.270685794904, -77.001445840459], [38.29269961546, -76.997700330722], [38.295636623476, -77.025738519244]]",This Afternoon,3/16/2018,47,16 mph,NW,https://api.weather.gov/icons/land/day/few?size=medium,Sunny,"Sunny, with a high near 47. Northwest wind around 16 mph, with gusts as high as 30 mph. Little or no snow accumulation expected."
1,LWX,"100,43",2018-03-16:12:00:00,38.28316198,-77.01359076,"[[38.295636623476, -77.025738519244], [38.273622478492, -77.029478332862], [38.270685794904, -77.001445840459], [38.29269961546, -76.997700330722], [38.295636623476, -77.025738519244]]",Tonight,3/16/2018,28,2 to 16 mph,NW,https://api.weather.gov/icons/land/night/few?size=medium,Mostly Clear,"Mostly clear, with a low around 28. Northwest wind 2 to 16 mph, with gusts as high as 30 mph."
2,LWX,"100,43",2018-03-16:12:00:00,38.28316198,-77.01359076,"[[38.295636623476, -77.025738519244], [38.273622478492, -77.029478332862], [38.270685794904, -77.001445840459], [38.29269961546, -76.997700330722], [38.295636623476, -77.025738519244]]",Saturday,3/17/2018,43,2 to 6 mph,W,"https://api.weather.gov/icons/land/day/rain,50/rain,80?size=medium",Light Rain,"Rain after 11am. Partly sunny, with a high near 43. West wind 2 to 6 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
3,LWX,"100,43",2018-03-16:12:00:00,38.28316198,-77.01359076,"[[38.295636623476, -77.025738519244], [38.273622478492, -77.029478332862], [38.270685794904, -77.001445840459], [38.29269961546, -76.997700330722], [38.295636623476, -77.025738519244]]",Saturday Night,3/17/2018,30,6 mph,NW,"https://api.weather.gov/icons/land/night/rain,40/bkn?size=medium",Chance Light Rain then Mostly Cloudy,"A chance of rain before 8pm. Mostly cloudy, with a low around 30. Northwest wind around 6 mph. Chance of precipitation is 40%. New rainfall amounts less than a tenth of an inch possible."
4,LWX,"100,43",2018-03-16:12:00:00,38.28316198,-77.01359076,"[[38.295636623476, -77.025738519244], [38.273622478492, -77.029478332862], [38.270685794904, -77.001445840459], [38.29269961546, -76.997700330722], [38.295636623476, -77.025738519244]]",Sunday,3/18/2018,53,6 mph,NW,https://api.weather.gov/icons/land/day/few?size=medium,Sunny,"Sunny, with a high near 53. Northwest wind around 6 mph."
5,LWX,"100,43",2018-03-16:12:00:00,38.28316198,-77.01359076,"[[38.295636623476, -77.025738519244], [38.273622478492, -77.029478332862], [38.270685794904, -77.001445840459], [38.29269961546, -76.997700330722], [38.295636623476, -77.025738519244]]",Sunday Night,3/18/2018,31,1 to 6 mph,W,https://api.weather.gov/icons/land/night/few?size=medium,Mostly Clear,"Mostly clear, with a low around 31."
6,LWX,"100,43",2018-03-16:12:00:00,38.28316198,-77.01359076,"[[38.295636623476, -77.025738519244], [38.273622478492, -77.029478332862], [38.270685794904, -77.001445840459], [38.29269961546, -76.997700330722], [38.295636623476, -77.025738519244]]",Monday,3/19/2018,50,1 to 5 mph,E,https://api.weather.gov/icons/land/day/sct?size=medium,Mostly Sunny,"Mostly sunny, with a high near 50."
7,LWX,"100,43",2018-03-16:12:00:00,38.28316198,-77.01359076,"[[38.295636623476, -77.025738519244], [38.273622478492, -77.029478332862], [38.270685794904, -77.001445840459], [38.29269961546, -76.997700330722], [38.295636623476, -77.025738519244]]",Monday Night,3/19/2018,38,7 mph,E,"https://api.weather.gov/icons/land/night/rain,60?size=medium",Light Rain Likely,"Rain likely after 8pm. Mostly cloudy, with a low around 38. Chance of precipitation is 60%."
8,LWX,"100,43",2018-03-16:12:00:00,38.28316198,-77.01359076,"[[38.295636623476, -77.025738519244], [38.273622478492, -77.029478332862], [38.270685794904, -77.001445840459], [38.29269961546, -76.997700330722], [38.295636623476, -77.025738519244]]",Tuesday,3/20/2018,44,6 to 12 mph,NE,"https://api.weather.gov/icons/land/day/rain,80?size=medium",Light Rain,"Rain. Cloudy, with a high near 44. Chance of precipitation is 80%."
9,LWX,"100,43",2018-03-16:12:00:00,38.28316198,-77.01359076,"[[38.295636623476, -77.025738519244], [38.273622478492, -77.029478332862], [38.270685794904, -77.001445840459], [38.29269961546, -76.997700330722], [38.295636623476, -77.025738519244]]",Tuesday Night,3/20/2018,35,12 mph,N,"https://api.weather.gov/icons/land/night/snow,80/snow,60?size=medium",Rain And Snow Likely,"Rain before 8pm, then rain and snow likely. Cloudy, with a low around 35. Chance of precipitation is 80%."
